,protein,layer,value
1,DBH,I,
2,NET,I,
3,DBH,II,
4,NET,II,
5,DBH,III,
6,NET,III,
7,DBH,IVa,
8,NET,IVa,
9,DBH,IVb,
10,NET,IVb,
11,DBH,IVc,
12,NET,IVc,
13,DBH,IVc,
14,NET,IVc,
15,DBH,V,
16,NET,V,
17,DBH,VI,
18,NET,VI,
19,DBH,I,
20,NET,I,
21,DBH,II,
22,NET,II,
23,DBH,III,
24,NET,III,
25,DBH,IVa,
26,NET,IVa,
27,DBH,IVb,
28,NET,IVb,
29,DBH,IVc,
30,NET,IVc,
31,DBH,IVc,
32,NET,IVc,
33,DBH,V,
34,NET,V,
35,DBH,VI,
36,NET,VI,
37,DBH,I,
38,NET,I,
39,DBH,II,
40,NET,II,
41,DBH,III,
42,NET,III,
43,DBH,IVa,
44,NET,IVa,
45,DBH,IVb,
46,NET,IVb,
47,DBH,IVc,
48,NET,IVc,
49,DBH,IVc,
50,NET,IVc,
51,DBH,V,
52,NET,V,
53,DBH,VI,
54,NET,VI,
55,DBH,I,
56,NET,I,
57,DBH,II,
58,NET,II,
59,DBH,III,
60,NET,III,
61,DBH,IVa,
62,NET,IVa,
63,DBH,IVb,
64,NET,IVb,
65,DBH,IVc,
66,NET,IVc,
67,DBH,IVc,
68,NET,IVc,
69,DBH,V,
70,NET,V,
71,DBH,VI,
72,NET,VI,
73,DBH,I,
74,NET,I,
75,DBH,II,
76,NET,II,
77,DBH,III,
78,NET,III,
79,DBH,IVa,
80,NET,IVa,
81,DBH,IVb,
82,NET,IVb,
83,DBH,IVc,
84,NET,IVc,
85,DBH,IVc,
86,NET,IVc,
87,DBH,V,
88,NET,V,
89,DBH,VI,
90,NET,VI,
91,DBH,I,
92,NET,I,
93,DBH,II,
94,NET,II,
95,DBH,III,
96,NET,III,
97,DBH,IVa,
98,NET,IVa,
99,DBH,IVb,
100,NET,IVb,
101,DBH,IVc,
102,NET,IVc,
103,DBH,IVc,
104,NET,IVc,
105,DBH,V,
106,NET,V,
107,DBH,VI,
108,NET,VI,
109,DBH,I,
110,NET,I,
111,DBH,II,
112,NET,II,
113,DBH,III,
114,NET,III,
115,DBH,IVa,
116,NET,IVa,
117,DBH,IVb,
118,NET,IVb,
119,DBH,IVc,
120,NET,IVc,
121,DBH,IVc,
122,NET,IVc,
123,DBH,V,
124,NET,V,
125,DBH,VI,
126,NET,VI,
127,DBH,I,
128,NET,I,
129,DBH,II,
130,NET,II,
131,DBH,III,
132,NET,III,
133,DBH,IVa,
134,NET,IVa,
135,DBH,IVb,
136,NET,IVb,
137,DBH,IVc,
138,NET,IVc,
139,DBH,IVc,
140,NET,IVc,
141,DBH,V,
142,NET,V,
143,DBH,VI,
