,area,protein,layer,value
1,V1,NET,I,
2,V2,NET,I,
3,V1,NET,II,
4,V2,NET,II,
5,V1,NET,III,
6,V2,NET,III,
7,V1,NET,IV,
8,V2,NET,IV,
9,V1,NET,V,
10,V2,NET,V,
11,V1,NET,VI,
12,V2,NET,VI,
13,V1,NET,I,
14,V2,NET,I,
15,V1,NET,II,
16,V2,NET,II,
17,V1,NET,III,
18,V2,NET,III,
19,V1,NET,IV,
20,V2,NET,IV,
21,V1,NET,V,
22,V2,NET,V,
23,V1,NET,VI,
24,V2,NET,VI,
25,V1,NET,I,
26,V2,NET,I,
27,V1,NET,II,
28,V2,NET,II,
29,V1,NET,III,
30,V2,NET,III,
31,V1,NET,IV,
32,V2,NET,IV,
33,V1,NET,V,
34,V2,NET,V,
35,V1,NET,VI,
36,V2,NET,VI,
37,V1,NET,I,
38,V2,NET,I,
39,V1,NET,II,
40,V2,NET,II,
41,V1,NET,III,
42,V2,NET,III,
43,V1,NET,IV,
44,V2,NET,IV,
45,V1,NET,V,
46,V2,NET,V,
47,V1,NET,VI,
48,V2,NET,VI,
49,V1,NET,I,
50,V2,NET,I,
51,V1,NET,II,
52,V2,NET,II,
53,V1,NET,III,
54,V2,NET,III,
55,V1,NET,IV,
56,V2,NET,IV,
57,V1,NET,V,
58,V2,NET,V,
59,V1,NET,VI,
60,V2,NET,VI,
61,V1,NET,I,
62,V2,NET,I,
63,V1,NET,II,
64,V2,NET,II,
65,V1,NET,III,
66,V2,NET,III,
67,V1,NET,IV,
68,V2,NET,IV,
69,V1,NET,V,
70,V2,NET,V,
71,V1,NET,VI,
72,V2,NET,VI,
73,V1,NET,I,
74,V2,NET,I,
75,V1,NET,II,
76,V2,NET,II,
77,V1,NET,III,
78,V2,NET,III,
79,V1,NET,IV,
80,V2,NET,IV,
81,V1,NET,V,
82,V2,NET,V,
83,V1,NET,VI,
84,V2,NET,VI,
85,V1,NET,I,
86,V2,NET,I,
87,V1,NET,II,
88,V2,NET,II,
89,V1,NET,III,
90,V2,NET,III,
91,V1,NET,IV,
92,V2,NET,IV,
93,V1,NET,V,
94,V2,NET,V,
95,V1,NET,VI,
96,V2,NET,VI,
97,V1,NET,I,
98,V2,NET,I,
99,V1,NET,II,
100,V2,NET,II,
101,V1,NET,III,
102,V2,NET,III,
103,V1,NET,IV,
104,V2,NET,IV,
105,V1,NET,V,
106,V2,NET,V,
107,V1,NET,VI,
108,V2,NET,VI,
109,V1,NET,I,
110,V2,NET,I,
111,V1,NET,II,
112,V2,NET,II,
113,V1,NET,III,
114,V2,NET,III,
115,V1,NET,IV,
116,V2,NET,IV,
117,V1,NET,V,
118,V2,NET,V,
119,V1,NET,VI,
120,V2,NET,VI,
121,V1,NET,I,
122,V2,NET,I,
123,V1,NET,II,
124,V2,NET,II,
125,V1,NET,III,
126,V2,NET,III,
